epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6452,4.35824,5.27879,4.04245,0.00027,0.072,0.00016,4e-05,4.84155,5.17318,4.33719,0.000659004,0.000659004,0.000659004
2,106.842,3.01303,3.48164,3.02553,0.01326,0.11733,0.00596,0.00166,3.08485,6.52271,5.25071,0.0013213,0.0013213,0.0013213
3,151.953,2.41356,2.2668,2.51622,0.26507,0.24238,0.14682,0.05836,2.44422,4.72283,2.79291,0.00197919,0.00197919,0.00197919
4,197.342,2.10269,1.8349,2.27234,0.60531,0.56439,0.5621,0.23021,2.09564,2.07439,2.40559,0.0019802,0.0019802,0.0019802
5,243.507,1.91397,1.53421,2.11497,0.43572,0.40533,0.36092,0.12955,2.12251,2.18961,2.35909,0.0019736,0.0019736,0.0019736
6,289.444,1.7126,1.27766,1.9327,0.86433,0.62857,0.7291,0.31076,1.87584,1.56515,2.104,0.001967,0.001967,0.001967
7,335.838,1.58276,1.15117,1.79303,0.90209,0.68267,0.77434,0.46216,1.55297,1.26684,1.8732,0.0019604,0.0019604,0.0019604
8,380.282,1.47819,1.02792,1.68521,0.90115,0.72934,0.7942,0.50217,1.36393,1.26744,1.74146,0.0019538,0.0019538,0.0019538
9,430.713,1.41312,0.96733,1.63946,0.94694,0.76,0.81799,0.53503,1.28939,1.01282,1.68417,0.0019472,0.0019472,0.0019472
10,476.298,1.33988,0.89587,1.57569,0.94096,0.72255,0.8116,0.51336,1.37857,1.09107,1.72275,0.0019406,0.0019406,0.0019406
11,520.775,1.27003,0.83665,1.52165,0.88852,0.77333,0.82513,0.55895,1.18594,0.9704,1.55822,0.001934,0.001934,0.001934
12,563.632,1.22983,0.82855,1.48324,0.9475,0.77001,0.83948,0.57864,1.17524,0.91658,1.55111,0.0019274,0.0019274,0.0019274
13,603.772,1.19178,0.79622,1.447,0.85937,0.70667,0.74096,0.48364,1.27709,1.27628,1.57927,0.0019208,0.0019208,0.0019208
14,643.947,1.13601,0.74554,1.39192,0.92328,0.70601,0.76209,0.51731,1.30006,1.13867,1.57705,0.0019142,0.0019142,0.0019142
15,685.629,1.11679,0.7495,1.37903,0.93186,0.64267,0.75501,0.4255,1.56711,1.23014,1.75313,0.0019076,0.0019076,0.0019076
16,726.894,1.10045,0.72236,1.33821,0.92266,0.76,0.83528,0.59572,1.10084,0.8859,1.43251,0.001901,0.001901,0.001901
17,767.251,1.05946,0.69706,1.31907,0.92929,0.77096,0.84291,0.59777,1.11621,0.86642,1.42359,0.0018944,0.0018944,0.0018944
18,809.052,1.06676,0.6938,1.30343,0.90902,0.80533,0.84882,0.62481,1.02714,0.80257,1.36401,0.0018878,0.0018878,0.0018878
19,849.874,1.02833,0.6717,1.28658,0.96878,0.80533,0.84955,0.62735,0.99339,0.81159,1.34949,0.0018812,0.0018812,0.0018812
20,891.27,1.00945,0.67221,1.26458,0.93425,0.80267,0.86105,0.61839,1.0452,0.78777,1.34963,0.0018746,0.0018746,0.0018746
21,934.209,1.02527,0.66641,1.25981,0.96116,0.81333,0.86909,0.66144,0.94938,0.74367,1.28249,0.001868,0.001868,0.001868
22,974.924,0.99534,0.64719,1.24564,0.95041,0.808,0.86902,0.66434,0.91123,0.68777,1.25849,0.0018614,0.0018614,0.0018614
23,1014.82,0.99868,0.62928,1.23427,0.95689,0.77867,0.84669,0.62734,1.00501,0.80782,1.33492,0.0018548,0.0018548,0.0018548
24,1055.54,1.0039,0.65206,1.2439,0.96815,0.81066,0.86973,0.65667,0.94433,0.7251,1.28605,0.0018482,0.0018482,0.0018482
25,1095.38,0.93354,0.6108,1.21207,0.93313,0.80533,0.84813,0.6137,1.04102,0.79744,1.32715,0.0018416,0.0018416,0.0018416
26,1136.49,0.95993,0.60618,1.21173,0.92311,0.752,0.81717,0.60156,1.05368,0.89384,1.33764,0.001835,0.001835,0.001835
27,1179.67,0.9725,0.62305,1.19655,0.95351,0.82034,0.86334,0.63257,0.99575,0.75228,1.31882,0.0018284,0.0018284,0.0018284
28,1220.99,0.93534,0.60942,1.1969,0.95925,0.808,0.86418,0.65086,0.95773,0.70946,1.26909,0.0018218,0.0018218,0.0018218
29,1262.96,0.92736,0.59553,1.17647,0.9564,0.81901,0.86201,0.64138,1.03325,0.75725,1.27548,0.0018152,0.0018152,0.0018152
30,1306.16,0.92393,0.58816,1.16674,0.95642,0.84267,0.87169,0.68562,0.88028,0.69694,1.21377,0.0018086,0.0018086,0.0018086
31,1345.95,0.9201,0.59711,1.17002,0.96151,0.79928,0.84318,0.61478,1.05396,0.78097,1.33109,0.001802,0.001802,0.001802
32,1386.73,0.93228,0.59258,1.18068,0.95321,0.81491,0.8622,0.65673,0.95497,0.71786,1.24093,0.0017954,0.0017954,0.0017954
33,1426.6,0.89699,0.56415,1.15245,0.95978,0.824,0.87168,0.69545,0.82554,0.66672,1.18102,0.0017888,0.0017888,0.0017888
34,1466.25,0.87819,0.56811,1.15111,0.96545,0.81976,0.87974,0.70425,0.83833,0.62942,1.1933,0.0017822,0.0017822,0.0017822
35,1506.72,0.91674,0.57003,1.15558,0.9332,0.832,0.87193,0.69101,0.87106,0.68176,1.21405,0.0017756,0.0017756,0.0017756
36,1546.54,0.8762,0.55615,1.14524,0.96273,0.81867,0.87342,0.67648,0.88629,0.69569,1.2202,0.001769,0.001769,0.001769
37,1587.8,0.85424,0.54399,1.13481,0.95552,0.81867,0.85895,0.67379,0.89669,0.68015,1.20503,0.0017624,0.0017624,0.0017624
38,1629.98,0.85093,0.54212,1.12776,0.96465,0.82933,0.87706,0.68329,0.87026,0.66433,1.1955,0.0017558,0.0017558,0.0017558
39,1670.01,0.86977,0.54163,1.14057,0.97364,0.82667,0.88183,0.70694,0.82563,0.63362,1.16062,0.0017492,0.0017492,0.0017492
40,1710.86,0.86331,0.54538,1.13151,0.94909,0.84508,0.88047,0.68206,0.85451,0.64497,1.17559,0.0017426,0.0017426,0.0017426
41,1750.95,0.83772,0.53437,1.10775,0.97149,0.81767,0.87498,0.7099,0.81088,0.63916,1.16834,0.001736,0.001736,0.001736
42,1790.94,0.84859,0.53369,1.10515,0.9685,0.84,0.87785,0.70337,0.79697,0.61307,1.14407,0.0017294,0.0017294,0.0017294
43,1830.66,0.8356,0.52891,1.11566,0.95567,0.84533,0.88487,0.71094,0.78467,0.5842,1.16131,0.0017228,0.0017228,0.0017228
44,1870.75,0.85522,0.53999,1.1156,0.97715,0.832,0.88103,0.70851,0.82028,0.60764,1.16483,0.0017162,0.0017162,0.0017162
45,1910.79,0.85434,0.54998,1.12692,0.96036,0.83995,0.88377,0.72911,0.75563,0.57898,1.13752,0.0017096,0.0017096,0.0017096
46,1950.92,0.81748,0.51243,1.11189,0.98033,0.82667,0.88635,0.7208,0.77559,0.60748,1.15506,0.001703,0.001703,0.001703
47,1991.43,0.82939,0.52108,1.10946,0.96617,0.83768,0.87235,0.69846,0.87074,0.64631,1.19526,0.0016964,0.0016964,0.0016964
48,2033.38,0.84523,0.53762,1.11869,0.97014,0.816,0.86966,0.67624,0.88289,0.67844,1.20245,0.0016898,0.0016898,0.0016898
49,2073.68,0.82298,0.52045,1.09343,0.97814,0.83517,0.89202,0.70444,0.85383,0.62931,1.18531,0.0016832,0.0016832,0.0016832
50,2113.92,0.8096,0.52294,1.09393,0.97398,0.82133,0.86445,0.70216,0.79453,0.64422,1.14891,0.0016766,0.0016766,0.0016766
51,2154.24,0.81216,0.52012,1.09402,0.95836,0.85922,0.88463,0.72041,0.77398,0.56838,1.12244,0.00167,0.00167,0.00167
52,2194.75,0.81621,0.51076,1.09458,0.97272,0.83733,0.8853,0.71621,0.7856,0.57786,1.13424,0.0016634,0.0016634,0.0016634
53,2235.09,0.79352,0.50705,1.08695,0.9539,0.84533,0.87997,0.70904,0.78966,0.58493,1.15085,0.0016568,0.0016568,0.0016568
54,2275.43,0.80423,0.50958,1.08642,0.96584,0.82929,0.87987,0.64817,0.97547,0.6453,1.24285,0.0016502,0.0016502,0.0016502
55,2315.54,0.80916,0.50856,1.08879,0.96489,0.83733,0.88282,0.71537,0.78983,0.59964,1.14986,0.0016436,0.0016436,0.0016436
56,2356.27,0.78203,0.48857,1.07589,0.98437,0.83997,0.89464,0.69781,0.85218,0.59986,1.17587,0.001637,0.001637,0.001637
57,2396.68,0.80564,0.51254,1.08738,0.97531,0.84288,0.88765,0.71109,0.78593,0.55932,1.14267,0.0016304,0.0016304,0.0016304
58,2436.57,0.7758,0.49373,1.07447,0.97244,0.84697,0.89182,0.7347,0.77157,0.59007,1.13268,0.0016238,0.0016238,0.0016238
59,2476.79,0.77395,0.48469,1.0608,0.96926,0.8408,0.87511,0.688,0.85998,0.64617,1.19093,0.0016172,0.0016172,0.0016172
60,2517.65,0.78398,0.49104,1.07707,0.95174,0.84138,0.88603,0.67114,0.92334,0.63131,1.26785,0.0016106,0.0016106,0.0016106
61,2557.74,0.7657,0.48736,1.05942,0.96787,0.84,0.88465,0.70752,0.80171,0.58547,1.15793,0.001604,0.001604,0.001604
62,2598,0.7816,0.48899,1.06638,0.976,0.848,0.89475,0.71052,0.80771,0.58314,1.18482,0.0015974,0.0015974,0.0015974
63,2642.99,0.74479,0.46495,1.04999,0.97132,0.84533,0.89644,0.73619,0.75247,0.53816,1.11307,0.0015908,0.0015908,0.0015908
64,2686.91,0.76802,0.47281,1.06318,0.96229,0.848,0.88897,0.71777,0.80711,0.56363,1.14544,0.0015842,0.0015842,0.0015842
65,2728.85,0.75499,0.47043,1.04734,0.94295,0.84267,0.89025,0.72496,0.77589,0.59025,1.13056,0.0015776,0.0015776,0.0015776
66,2770.61,0.77687,0.47946,1.07755,0.95426,0.84533,0.88321,0.70622,0.776,0.55131,1.14245,0.001571,0.001571,0.001571
67,2812.12,0.75928,0.47225,1.06118,0.97674,0.84267,0.88965,0.72629,0.75364,0.54222,1.11325,0.0015644,0.0015644,0.0015644
68,2853.4,0.76038,0.47434,1.05127,0.96332,0.84037,0.89223,0.73593,0.76101,0.5746,1.11693,0.0015578,0.0015578,0.0015578
69,2893.57,0.78261,0.49425,1.0702,0.96919,0.83733,0.88408,0.70404,0.81902,0.60537,1.16319,0.0015512,0.0015512,0.0015512
70,2934.18,0.78066,0.47902,1.05478,0.9684,0.85333,0.89119,0.73633,0.73891,0.53995,1.11749,0.0015446,0.0015446,0.0015446
71,2974.96,0.7519,0.47499,1.05279,0.96624,0.83962,0.90271,0.70606,0.85743,0.60734,1.16888,0.001538,0.001538,0.001538
72,3016.23,0.77924,0.49662,1.0688,0.97692,0.83733,0.88964,0.73343,0.74795,0.57893,1.1109,0.0015314,0.0015314,0.0015314
73,3056.57,0.75992,0.47172,1.05988,0.96987,0.80533,0.87538,0.68085,0.89718,0.66971,1.24302,0.0015248,0.0015248,0.0015248
74,3096.78,0.73292,0.46418,1.05303,0.96883,0.84533,0.89196,0.71786,0.78606,0.55345,1.13863,0.0015182,0.0015182,0.0015182
75,3137.14,0.73267,0.45619,1.03814,0.95696,0.83008,0.88781,0.71703,0.79414,0.57373,1.14726,0.0015116,0.0015116,0.0015116
76,3177.75,0.72288,0.44894,1.04536,0.96704,0.864,0.89921,0.73494,0.72022,0.52737,1.08615,0.001505,0.001505,0.001505
77,3217.74,0.74606,0.45241,1.04147,0.97539,0.84557,0.89304,0.73979,0.73161,0.53037,1.08852,0.0014984,0.0014984,0.0014984
78,3258.07,0.71228,0.44261,1.02989,0.97739,0.85333,0.89547,0.73111,0.7598,0.53106,1.10932,0.0014918,0.0014918,0.0014918
79,3298.52,0.72653,0.45599,1.03011,0.95424,0.83417,0.87536,0.70822,0.76097,0.57949,1.11064,0.0014852,0.0014852,0.0014852
80,3339.71,0.71909,0.45082,1.03133,0.972,0.848,0.8881,0.72191,0.77484,0.55173,1.12146,0.0014786,0.0014786,0.0014786
81,3379.97,0.75212,0.45505,1.05543,0.98417,0.82891,0.87883,0.72451,0.75311,0.59747,1.12167,0.001472,0.001472,0.001472
82,3420.66,0.73048,0.45649,1.03308,0.98514,0.83733,0.90146,0.7319,0.7459,0.52809,1.10664,0.0014654,0.0014654,0.0014654
83,3460.74,0.71488,0.444,1.03091,0.98133,0.84116,0.89329,0.72221,0.77954,0.54721,1.11335,0.0014588,0.0014588,0.0014588
84,3501.26,0.71283,0.44367,1.0227,0.98301,0.84,0.8972,0.73067,0.75973,0.54415,1.10774,0.0014522,0.0014522,0.0014522
85,3541.73,0.72826,0.45501,1.04084,0.96925,0.84049,0.8958,0.72708,0.73446,0.54406,1.10908,0.0014456,0.0014456,0.0014456
86,3582.28,0.72426,0.43978,1.03874,0.9783,0.84145,0.89173,0.72123,0.7543,0.52063,1.10424,0.001439,0.001439,0.001439
87,3622.44,0.726,0.442,1.02878,0.97826,0.83991,0.88516,0.71781,0.77539,0.55932,1.12287,0.0014324,0.0014324,0.0014324
88,3663.16,0.71827,0.44505,1.02345,0.95291,0.848,0.8934,0.74506,0.72598,0.54364,1.10681,0.0014258,0.0014258,0.0014258
89,3703.26,0.70627,0.43957,1.02127,0.9779,0.84267,0.89779,0.73508,0.7127,0.49459,1.10455,0.0014192,0.0014192,0.0014192
90,3743.36,0.71517,0.4344,1.02139,0.96281,0.84267,0.89132,0.7205,0.7727,0.54895,1.11187,0.0014126,0.0014126,0.0014126
91,3783.6,0.70502,0.4431,1.02161,0.97673,0.84267,0.89094,0.71061,0.80663,0.53527,1.13703,0.001406,0.001406,0.001406
92,3823.99,0.70249,0.43575,1.01948,0.9601,0.85067,0.89952,0.72905,0.76281,0.53105,1.11581,0.0013994,0.0013994,0.0013994
93,3863.88,0.7086,0.44339,1.017,0.96866,0.848,0.89973,0.73496,0.75087,0.52691,1.1131,0.0013928,0.0013928,0.0013928
94,3904.37,0.70321,0.43043,1.02307,0.97394,0.856,0.90199,0.72622,0.74291,0.5244,1.12105,0.0013862,0.0013862,0.0013862
95,3945.22,0.70947,0.42721,1.01531,0.97239,0.84515,0.88851,0.71691,0.75795,0.55249,1.10845,0.0013796,0.0013796,0.0013796
96,3986.13,0.69827,0.42762,1.01261,0.98392,0.84,0.88995,0.73491,0.72116,0.53048,1.10237,0.001373,0.001373,0.001373
97,4026.19,0.68245,0.42259,1.00947,0.96211,0.864,0.89933,0.74303,0.71898,0.5056,1.08575,0.0013664,0.0013664,0.0013664
98,4066.65,0.70557,0.43002,1.02349,0.97295,0.856,0.89155,0.73213,0.73649,0.52624,1.1107,0.0013598,0.0013598,0.0013598
99,4106.64,0.69806,0.43035,1.02494,0.97769,0.84,0.89289,0.72803,0.728,0.52613,1.11047,0.0013532,0.0013532,0.0013532
100,4147.18,0.70107,0.44656,1.02088,0.98121,0.82933,0.87518,0.71995,0.78089,0.5837,1.15224,0.0013466,0.0013466,0.0013466
101,4187.54,0.69149,0.44017,1.01862,0.98241,0.85067,0.89747,0.73482,0.73131,0.50688,1.09525,0.00134,0.00134,0.00134
102,4227.64,0.69258,0.42935,1.00988,0.9697,0.85349,0.89495,0.72751,0.76692,0.53739,1.13368,0.0013334,0.0013334,0.0013334
103,4267.87,0.68947,0.42838,1.01262,0.98154,0.85061,0.89679,0.73532,0.72304,0.5219,1.10016,0.0013268,0.0013268,0.0013268
